allgenders_0age_avg_vote;allgenders_0age_votes;allgenders_18age_avg_vote;allgenders_18age_votes;allgenders_30age_avg_vote;allgenders_30age_votes;allgenders_45age_avg_vote;allgenders_45age_votes;males_allages_avg_vote;males_allages_votes;males_0age_avg_vote;males_0age_votes;males_18age_avg_vote;males_18age_votes;males_30age_avg_vote;males_30age_votes;males_45age_avg_vote;males_45age_votes;females_allages_avg_vote;females_allages_votes;females_0age_avg_vote;females_0age_votes;females_18age_avg_vote;females_18age_votes;females_30age_avg_vote;females_30age_votes;females_45age_avg_vote;females_45age_votes;votes;allgenders_allages_votes;allgenders_allages_avg_vote;main_actor;supporting_actor_1;supporting_actor_2
8.4;126.0;8.3;47171.0;8.1;103642.0;8.2;48047.0;8.0;135179.0;8.5;85.0;8.2;26687.0;7.9;67581.0;8.0;35104.0;8.5;70826.0;8.6;36.0;8.5;19929.0;8.5;34904.0;8.6;12294.0;198986.0;198986.0;8.1;Thomas Mitchell;Barbara O'Neil;Vivien Leigh
8.4;38.0;8.2;15842.0;8.1;36655.0;8.2;20483.0;8.1;62530.0;8.1;30.0;8.2;12950.0;8.1;30780.0;8.2;16684.0;8.2;12286.0;9.8;5.0;8.0;2741.0;8.1;5498.0;8.4;3533.0;73018.0;73018.0;8.0;Jean Arthur;James Stewart;Claude Rains
8.2;8.0;8.2;4450.0;8.0;10349.0;8.0;5022.0;8.1;17511.0;8.4;7.0;8.2;3780.0;8.0;9075.0;8.0;4229.0;7.8;2570.0;7.0;1.0;7.8;613.0;7.8;1163.0;8.0;734.0;19829.0;19829.0;7.9;Nora Gregor;Paulette Dubost;Mila Parély
7.8;304.0;7.8;76586.0;8.0;131391.0;8.4;53093.0;8.0;199492.0;7.8;224.0;7.8;51393.0;7.9;97127.0;8.4;41126.0;8.1;72569.0;8.0;69.0;7.9;24292.0;8.2;32854.0;8.7;11273.0;261374.0;261374.0;8.0;Judy Garland;Frank Morgan;Ray Bolger
7.6;55.0;7.8;16657.0;7.7;33930.0;7.8;13067.0;7.7;48814.0;7.6;45.0;7.8;11296.0;7.6;25538.0;7.8;10505.0;7.8;16182.0;7.2;6.0;7.7;5141.0;7.8;8035.0;7.9;2405.0;63709.0;63709.0;7.8;Leopold Stokowski;Deems Taylor;
8.6;155.0;8.5;45186.0;8.4;69174.0;8.4;23138.0;8.4;124007.0;8.6;128.0;8.5;37705.0;8.4;60102.0;8.4;19930.0;8.5;19125.0;8.7;20.0;8.5;6990.0;8.5;8316.0;8.3;2847.0;137653.0;137653.0;8.3;Charles Chaplin;Jack Oakie;Reginald Gardiner
7.6;6.0;7.5;1003.0;7.4;2990.0;7.6;3096.0;7.5;5963.0;7.4;5.0;7.5;760.0;7.3;2439.0;7.6;2630.0;7.7;1230.0;8.0;1.0;7.7;239.0;7.6;531.0;7.7;428.0;7095.0;7095.0;7.6;Tyrone Power;Linda Darnell;Basil Rathbone
7.4;186.0;7.4;35054.0;7.4;42994.0;7.7;11314.0;7.5;67131.0;7.4;139.0;7.5;22755.0;7.5;31892.0;7.7;9047.0;7.2;25864.0;7.0;37.0;7.2;11668.0;7.2;10582.0;7.6;2115.0;89548.0;89548.0;7.5;Mel Blanc;Don Brodie;Stuart Buchanan
8.2;56.0;8.1;19081.0;8.0;42783.0;8.2;21956.0;8.0;64650.0;8.1;35.0;8.0;13579.0;8.0;32473.0;8.1;16381.0;8.3;21296.0;8.3;17.0;8.2;5303.0;8.2;9844.0;8.5;5264.0;83876.0;83876.0;8.0;Laurence Olivier;Joan Fontaine;George Sanders
8.7;219.0;8.3;69414.0;8.2;143836.0;8.4;57371.0;8.3;237718.0;8.7;188.0;8.4;56955.0;8.2;122902.0;8.4;48201.0;8.1;41096.0;9.1;20.0;8.0;11675.0;8.1;19390.0;8.2;8294.0;270840.0;270840.0;8.1;Joseph Cotten;Dorothy Comingore;Agnes Moorehead
7.1;157.0;7.2;30987.0;7.2;42036.0;7.4;10831.0;7.2;60996.0;7.0;115.0;7.2;19188.0;7.2;30261.0;7.4;8557.0;7.3;25996.0;7.3;33.0;7.2;11276.0;7.3;11236.0;7.6;2116.0;84011.0;84011.0;7.3;Herman Bing;Billy Bletcher;Edward Brophy
8.3;55.0;7.8;20702.0;7.9;53242.0;8.3;31475.0;8.0;93375.0;8.3;47.0;7.9;17378.0;7.9;46233.0;8.3;26643.0;7.8;14550.0;8.6;8.0;7.6;3112.0;7.8;6485.0;8.2;4401.0;105474.0;105474.0;8.0;Humphrey Bogart;Mary Astor;Gladys George
8.5;284.0;8.4;92179.0;8.4;186189.0;8.7;78396.0;8.5;293071.0;8.6;213.0;8.5;67654.0;8.5;148514.0;8.7;63987.0;8.3;75923.0;8.2;56.0;8.2;23408.0;8.3;35558.0;8.6;13183.0;357048.0;357048.0;8.4;Humphrey Bogart;Ingrid Bergman;Paul Henreid
